,Subnum,Block,Trial,Old,testcdisgard,Response,Correctness,Side,RT,WhichProbe,Stimkind,FileCondi,prob1,prob2,prob3,prob4,prob5,prob6,prob7,prob8
766,16,2,2,Old,1,1,1,Right,956,79,AN,MIX,78,12,14,79,NA,NA,NA,NA
767,16,2,3,New,1,1,1,left,774,82,AN,MIX,1,8,80,81,NA,NA,NA,NA
768,16,2,4,Old,1,2,1,left,802,85,AN,MIX,84,2,1,86,83,6,85,8
769,16,2,5,Old,1,2,1,left,636,88,AN,MIX,6,3,4,8,90,87,89,88
770,16,2,6,Old,1,1,1,Right,691,92,AN,MIX,91,11,10,92,NA,NA,NA,NA
775,16,2,11,New,1,2,1,Right,753,102,AN,MIX,10,100,101,12,NA,NA,NA,NA
776,16,2,12,New,1,2,1,Right,731,105,AN,MIX,104,9,103,13,NA,NA,NA,NA
778,16,2,14,New,1,2,1,Right,869,112,AN,MIX,13,109,11,10,108,111,110,9
779,16,2,15,Old,1,2,1,left,703,113,AN,MIX,113,1,NA,NA,NA,NA,NA,NA
780,16,2,16,New,1,1,1,left,623,115,AN,MIX,114,4,NA,NA,NA,NA,NA,NA
781,16,2,17,New,1,2,1,Right,710,118,AN,MIX,116,117,9,11,NA,NA,NA,NA
782,16,2,18,New,1,2,1,Right,1174,120,AN,MIX,15,119,NA,NA,NA,NA,NA,NA
783,16,2,19,Old,1,2,1,left,748,121,AN,MIX,1,121,NA,NA,NA,NA,NA,NA
785,16,2,21,New,1,1,1,left,865,127,AN,MIX,126,6,4,125,124,5,1,123
787,16,2,23,Old,1,2,0,Right,868,133,AN,MIX,133,10,132,131,13,14,130,15
788,16,2,24,New,1,2,1,Right,932,135,AN,MIX,134,13,NA,NA,NA,NA,NA,NA
789,16,3,1,Old,1,2,1,left,1098,136,AN,MIX,137,8,7,136,1,3,138,139
796,16,3,8,New,1,2,1,Right,1202,154,AN,MIX,9,153,NA,NA,NA,NA,NA,NA
797,16,3,9,Old,1,1,1,Right,562,155,AN,MIX,11,13,156,155,NA,NA,NA,NA
798,16,3,10,New,1,1,1,left,636,159,AN,MIX,158,8,157,6,NA,NA,NA,NA
799,16,3,11,Old,1,2,1,left,670,160,AN,MIX,160,5,NA,NA,NA,NA,NA,NA
800,16,3,12,New,1,2,1,Right,575,162,AN,MIX,161,12,NA,NA,NA,NA,NA,NA
765,16,2,1,New,1,2,1,Right,1061,4,CM,MIX,14,15,76,77,NA,NA,NA,NA
771,16,2,7,New,1,1,1,left,1611,14,CM,MIX,93,7,NA,NA,NA,NA,NA,NA
772,16,2,8,Old,1,2,1,left,615,8,CM,MIX,94,8,NA,NA,NA,NA,NA,NA
773,16,2,9,New,1,2,1,Right,795,1,CM,MIX,16,95,NA,NA,NA,NA,NA,NA
774,16,2,10,Old,1,2,1,left,784,1,CM,MIX,6,5,97,99,96,1,98,4
777,16,2,13,New,1,1,0,Right,694,2,CM,MIX,106,107,15,12,NA,NA,NA,NA
784,16,2,20,New,1,2,1,Right,849,5,CM,MIX,122,9,NA,NA,NA,NA,NA,NA
786,16,2,22,New,1,2,1,Right,951,4,CM,MIX,10,15,128,129,NA,NA,NA,NA
790,16,3,2,Old,1,1,1,Right,914,12,CM,MIX,12,140,NA,NA,NA,NA,NA,NA
791,16,3,3,Old,1,1,1,Right,586,12,CM,MIX,12,141,NA,NA,NA,NA,NA,NA
792,16,3,4,New,1,1,1,left,598,13,CM,MIX,142,5,NA,NA,NA,NA,NA,NA
793,16,3,5,New,1,1,1,left,744,16,CM,MIX,4,7,5,2,143,145,146,144
794,16,3,6,Old,1,1,1,Right,748,9,CM,MIX,148,147,9,12,NA,NA,NA,NA
795,16,3,7,Old,1,1,1,Right,632,14,CM,MIX,16,150,13,149,151,14,12,152
801,16,3,13,Old,1,2,1,left,531,2,CM,MIX,3,164,4,163,6,166,165,2
